generation,best_fitness
0,3.5192855909736145
1,1.1383010059859426
2,0.28527146212121035
3,0.6848655703232565
4,0.3325731162395016
5,0.3110583557513908
6,0.2555864008847969
7,0.23506938592697976
8,0.294751654438553
9,0.30496585818594196
10,0.40587192491075763
11,0.3559544280762679
12,0.5573166501854195
13,0.3541322188330965
14,0.3279938524003411
15,0.25544429799656365
16,0.2589103627021343
17,0.296866666657389
18,0.309684558119044
19,0.24391484042795844
20,0.2583896387272336
21,0.36975652009645577
22,0.3667026814003743
23,0.44472329682050155
24,0.2741397719998871
25,0.44849790801223
26,0.3781709060435711
27,0.34603037045379054
28,0.3123531510569791
29,0.23128101010140084
30,0.23570379133988545
31,0.26321181979198915
32,0.2626441825078925
33,0.3315193407756513
34,0.33062427240588493
35,0.2741708294361334
36,0.3727085562993256
37,0.5395006680827827
38,0.3943113894839935
39,0.29887466422216696
40,0.5522142431359055
41,0.252744994007925
42,0.3496005962076765
43,0.2794743577839182
44,0.23882760543450107
45,0.2592146815122854
46,0.25222226495173933
47,0.26983972923913885
48,0.24389245004731716
49,0.29886010621631853
50,0.2945030855974917
51,0.2560889086264845
52,0.29439989022005025
53,0.2589870770615434
54,0.23720289224473512
55,0.4175747218985513
56,0.2549551981753819
57,0.34053935881504843
58,0.303715085037144
59,0.43441172072938244
60,0.3456394009736689
61,0.21819045160737505
62,0.4916976782524833
63,0.2529401831875202
64,0.2532530873433552
65,0.351609293163261
66,0.3963455398673908
67,0.2348253529425026
68,0.277382049898602
69,0.2604377746733168
70,0.2218873265650284
71,0.22230561421043218
72,0.33259454618395623
73,0.21859795560030917
74,0.29510654707547
75,0.31458538824009474
76,0.2112796979130804
77,0.3313046128328777
78,0.30633547229033176
79,0.24849000802373064
80,0.208290898881215
81,0.31948185027679005
82,0.27347203300502765
83,0.22704092983512647
84,0.22312656333638142
85,0.4271713165129767
86,0.23117739964635659
87,0.223439662882655
88,0.22308719085162654
89,0.2274241200864794
90,0.2566278195342018
91,0.37704038336080126
92,0.25369095268675956
93,0.21915456001379352
94,0.20429665754590307
95,0.2119668747171745
96,0.2606160892663009
97,0.23414331087519247
98,0.23631027194899634
99,0.2660396350359048
