generation,best_fitness
0,6.794159866154808
1,6.794159866154808
2,5.99893143632251
3,5.646995256382304
4,5.008847753592291
5,5.008847753592291
6,5.008847753592291
7,5.008847753592291
8,4.959705322166768
9,4.959705322166768
10,4.959705322166768
11,4.959705322166768
12,4.959705322166768
13,4.959705322166768
14,4.824637137544469
15,4.824637137544469
16,4.824637137544469
17,4.824637137544469
18,4.824637137544469
19,4.824637137544469
20,4.824637137544469
21,4.824637137544469
22,4.731560448271952
23,4.731560448271952
24,4.731560448271952
