generation,best_fitness
0,2.7949370781709386
1,2.1229412208177574
2,2.1229412208177574
3,2.1229412208177574
4,2.1229412208177574
5,2.1229412208177574
6,2.1229412208177574
7,2.1229412208177574
8,2.1229412208177574
9,2.1229412208177574
10,2.1229412208177574
11,2.1229412208177574
12,2.1229412208177574
13,2.1229412208177574
14,2.1229412208177574
15,2.1229412208177574
16,2.1229412208177574
17,2.1229412208177574
18,2.1229412208177574
19,2.1229412208177574
20,2.1229412208177574
21,2.1229412208177574
22,2.1229412208177574
23,2.1229412208177574
24,1.9200382291379698
