checkpoint_generation,best_generation,best_fitness
4,4,7.59436178058381
9,9,7.42448868038582
14,12,7.357711717442318
19,12,7.357711717442318
24,12,7.357711717442318
4,4,5.008847753592291
9,8,4.959705322166768
14,14,4.824637137544469
19,14,4.824637137544469
24,22,4.731560448271952
