t_exp_min,y_exp_norm,y_model_aligned
14.0,1.0,1.0086525066784209
14.00001,0.9999949251974796,1.0086524024039394
14.00002,0.9999898503949591,1.008652298129458
14.000029999999999,0.9999847755924388,1.0086521938549764
14.000039999999998,0.9999797007899184,1.0086520895804951
14.000049999999998,0.9999746259873978,1.0086519853060136
14.000059999999998,0.9999695511848775,1.0086507014217345
14.000069999999997,0.999964476382357,1.008650597147253
14.000079999999997,0.9999594015798366,1.0086504928727715
14.000089999999997,0.9999543267773161,1.00865038859829
14.000099999999996,0.9999492519747957,1.0086502843238085
14.000109999999996,0.9999441771722752,1.008650180049327
14.000119999999995,0.9999391023697548,1.008648896165048
14.000129999999995,0.9999340275672344,1.0086487918905664
14.000139999999995,0.9999289527647139,1.0086486876160852
14.000149999999994,0.9999238779621934,1.0086485833416037
14.000159999999994,0.9999188031596731,1.0086484790671222
14.000169999999994,0.9999137283571525,1.008647195182843
14.000179999999993,0.9999086535546322,1.0086470909083616
14.000189999999993,0.9999035787521117,1.00864698663388
14.000199999999992,0.9998985039495912,1.0086468823593986
14.000209999999992,0.9998925963707699,1.008646778084917
14.000219999999992,0.9998866655417153,1.0086466738104358
14.000229999999991,0.9998807347126607,1.0086454439514048
14.000239999999991,0.9998748038836062,1.0086454439514048
14.00024999999999,0.9998688730545516,1.0086454439514048
14.00025999999999,0.9998629422254972,1.0086454439514048
14.00026999999999,0.9998570113964426,1.0086454439514048
14.00027999999999,0.999851080567388,1.0086454439514048
14.000289999999989,0.9998451497383335,1.008644174474369
14.000299999999989,0.999839218909279,1.0086440701998876
14.000309999999988,0.9998332880802243,1.008643965925406
14.000319999999988,0.9998273572511699,1.0086438616509246
14.000329999999988,0.9998214264221155,1.008643757376443
14.000339999999987,0.9998154955930609,1.0086424734921642
14.000349999999987,0.9998095647640063,1.0086423692176827
14.000359999999986,0.9998036339349518,1.0086422649432012
14.000369999999986,0.9997977031058972,1.0086421606687197
14.000379999999986,0.9997917722768426,1.0086420563942382
14.000389999999985,0.999785841447788,1.0086419521197567
14.000399999999985,0.9997799106187335,1.0086406682354776
14.000409999999984,0.999773979789679,1.008640563960996
14.000419999999984,0.9997680489606244,1.0086404596865146
14.000429999999984,0.99976211813157,1.0086403554120333
