generation,best_fitness
0,7.745537415095371
1,7.745537415095371
2,6.68482782618405
3,5.9440186454711466
4,5.619445736794314
5,4.958782659866895
6,4.958782659866895
7,4.598832499088514
8,4.598832499088514
9,4.598832499088514
10,4.598832499088514
11,4.598832499088514
12,4.598832499088514
13,4.598832499088514
14,4.598832499088514
15,4.598832499088514
16,4.598832499088514
17,4.564203884724855
18,4.399368067942826
19,4.399368067942826
20,4.399368067942826
21,4.399368067942826
22,4.044028559344984
23,4.044028559344984
24,4.044028559344984
