checkpoint_generation,best_generation,best_fitness
4,2,9.374119896115062
9,9,7.948242276253852
14,14,6.810617783170546
19,19,5.942546531807398
24,24,4.898010073727922
4,4,7.210803356174443
9,9,4.96385646080023
14,14,3.9052475099429484
19,18,3.5843194364927284
24,24,3.39854551345556
