generation,best_fitness
0,23.838564148277413
1,23.68502331926131
2,23.68502331926131
3,22.01376200057857
4,21.886709074701542
5,21.45359338082482
6,20.473892097397886
7,19.1386337060693
8,18.46085957917746
9,17.205834630031966
10,16.033180099148808
11,13.77109650008645
12,12.254251308934721
13,10.038829667128681
14,8.321071047795648
15,6.537273163355258
16,6.537273163355258
17,6.41711398275209
18,5.861653834078286
19,5.426014184479538
20,5.227910525856995
21,4.517756597749865
22,4.267301559410749
23,4.267301559410749
24,4.217261749914325
