generation,best_fitness,seed_generation
0,9.313665507157129,3974790076
1,9.313665507157129,3974790077
2,8.442092191629158,3974790078
3,7.516035157008642,3974790079
4,7.210803356174443,3974790080
5,7.210803356174443,3974790081
6,6.846066870386386,3974790082
7,6.589805186335659,3974790083
8,5.074780286922004,3974790084
9,4.96385646080023,3974790085
10,4.719366890075395,3974790086
11,4.606386452709086,3974790087
12,4.166410490977676,3974790088
13,4.126613202515362,3974790089
14,3.9052475099429484,3974790090
15,3.7923867519505308,3974790091
16,3.7923867519505308,3974790092
17,3.763540779257286,3974790093
18,3.5843194364927284,3974790094
19,3.5843194364927284,3974790095
20,3.5843194364927284,3974790096
21,3.5413113639907183,3974790097
22,3.5413113639907183,3974790098
23,3.420520559507444,3974790099
24,3.39854551345556,3974790100
