generation,best_fitness,seed_generation
0,23.838564148277413,3974790076
1,23.68502331926131,3974790077
2,23.68502331926131,3974790078
3,22.01376200057857,3974790079
4,21.886709074701542,3974790080
5,21.45359338082482,3974790081
6,20.473892097397886,3974790082
7,19.1386337060693,3974790083
8,18.46085957917746,3974790084
9,17.205834630031966,3974790085
10,16.033180099148808,3974790086
11,13.77109650008645,3974790087
12,12.254251308934721,3974790088
13,10.038829667128681,3974790089
14,8.321071047795648,3974790090
15,6.537273163355258,3974790091
16,6.537273163355258,3974790092
17,6.41711398275209,3974790093
18,5.861653834078286,3974790094
19,5.426014184479538,3974790095
20,5.227910525856995,3974790096
21,4.517756597749865,3974790097
22,4.267301559410749,3974790098
23,4.267301559410749,3974790099
24,4.217261749914325,3974790100
