generation,best_fitness,seed_generation
0,6.794159866154808,3974790076
1,6.794159866154808,3974790077
2,5.99893143632251,3974790078
3,5.646995256382304,3974790079
4,5.008847753592291,3974790080
5,5.008847753592291,3974790081
6,5.008847753592291,3974790082
7,5.008847753592291,3974790083
8,4.959705322166768,3974790084
9,4.959705322166768,3974790085
10,4.959705322166768,3974790086
11,4.959705322166768,3974790087
12,4.959705322166768,3974790088
13,4.959705322166768,3974790089
14,4.824637137544469,3974790090
15,4.824637137544469,3974790091
16,4.824637137544469,3974790092
17,4.824637137544469,3974790093
18,4.824637137544469,3974790094
19,4.824637137544469,3974790095
20,4.824637137544469,3974790096
21,4.824637137544469,3974790097
22,4.731560448271952,3974790098
23,4.731560448271952,3974790099
24,4.731560448271952,3974790100
