generation,best_fitness,seed_generation
0,2.7949370781709386,2222746124
1,2.1229412208177574,2222746125
2,2.1229412208177574,2222746126
3,2.1229412208177574,2222746127
4,2.1229412208177574,2222746128
5,2.1229412208177574,2222746129
6,2.1229412208177574,2222746130
7,2.1229412208177574,2222746131
8,2.1229412208177574,2222746132
9,2.1229412208177574,2222746133
10,2.1229412208177574,2222746134
11,2.1229412208177574,2222746135
12,2.1229412208177574,2222746136
13,2.1229412208177574,2222746137
14,2.1229412208177574,2222746138
15,2.1229412208177574,2222746139
16,2.1229412208177574,2222746140
17,2.1229412208177574,2222746141
18,2.1229412208177574,2222746142
19,2.1229412208177574,2222746143
20,2.1229412208177574,2222746144
21,2.1229412208177574,2222746145
22,2.1229412208177574,2222746146
23,2.1229412208177574,2222746147
24,1.9200382291379698,2222746148
