t	NADH_m	ADP_m	deltaPsi	Ca_m	Ca_c	FBP
0.091	0.999951	1.00003	0.794049	0.990811	0.0001	5
0.092	0.999951	1.00003	0.791822	0.990711	0.0001	5
0.093	0.99995	1.00003	0.789595	0.99061	0.0001	5
0.094	0.99995	1.00003	0.787369	0.99051	0.0001	5
0.095	0.999949	1.00003	0.785143	0.99041	0.0001	5
0.096	0.999949	1.00003	0.782919	0.990309	0.0001	5
0.097	0.999948	1.00003	0.780695	0.990209	0.0001	5
0.098	0.999948	1.00003	0.778472	0.990109	0.0001	5
0.099	0.999947	1.00003	0.77625	0.990009	0.0001	5
0.1	0.999946	1.00003	0.774028	0.989908	0.0001	5
0.101	0.999946	1.00003	0.771808	0.989808	0.0001	5
0.102	0.999945	1.00003	0.769588	0.989708	0.0001	5
0.103	0.999945	1.00003	0.767369	0.989608	0.0001	5
0.104	0.999944	1.00003	0.76515	0.989508	0.0001	5
0.105	0.999944	1.00003	0.762933	0.989407	0.0001	5
0.106	0.999943	1.00003	0.760716	0.989307	0.0001	5
0.107	0.999943	1.00003	0.7585	0.989207	0.0001	5
0.108	0.999942	1.00003	0.756284	0.989107	0.0001	5
0.109	0.999942	1.00003	0.75407	0.989007	0.0001	5
0.11	0.999941	1.00003	0.751856	0.988907	0.0001	5
0.111	0.999941	1.00003	0.749643	0.988807	0.0001	5
0.112	0.99994	1.00003	0.74743	0.988707	0.0001	5
0.113	0.999939	1.00004	0.745219	0.988607	0.0001	5
0.114	0.999939	1.00004	0.743008	0.988507	0.0001	5
0.115	0.999938	1.00004	0.740798	0.988407	0.0001	5
0.116	0.999938	1.00004	0.738589	0.988307	0.0001	5
0.117	0.999937	1.00004	0.73638	0.988207	0.0001	5
0.118	0.999937	1.00004	0.734173	0.988107	0.0001	5
0.119	0.999936	1.00004	0.731966	0.988007	0.0001	5
0.12	0.999936	1.00004	0.72976	0.987907	0.0001	5
0.121	0.999935	1.00004	0.727554	0.987807	0.0001	5
0.122	0.999935	1.00004	0.72535	0.987707	0.0001	5
0.123	0.999934	1.00004	0.723146	0.987607	0.0001	5
0.124	0.999934	1.00004	0.720943	0.987507	0.0001	5
0.125	0.999933	1.00004	0.71874	0.987407	0.0001	5
0.126	0.999933	1.00004	0.716539	0.987307	0.0001	5
0.127	0.999932	1.00004	0.714338	0.987207	0.0001	5
0.128	0.999931	1.00004	0.712138	0.987108	0.0001	5
0.129	0.999931	1.00004	0.709938	0.987008	0.0001	5
0.13	0.99993	1.00004	0.70774	0.986908	0.0001	5
0.131	0.99993	1.00004	0.705542	0.986808	0.0001	5
0.132	0.999929	1.00004	0.703345	0.986708	0.0001	5
0.133	0.999929	1.00004	0.701149	0.986608	0.0001	5
0.134	0.999928	1.00004	0.698953	0.986509	0.0001	5
0.135	0.999928	1.00004	0.696758	0.986409	0.0001	5
0.136	0.999927	1.00004	0.694564	0.986309	0.0001	5
0.137	0.999927	1.00004	0.692371	0.986209	0.0001	5
0.138	0.999926	1.00004	0.690178	0.98611	0.0001	5
0.139	0.999926	1.00004	0.687987	0.98601	0.0001	5
0.14	0.999925	1.00004	0.685796	0.98591	0.0001	5
0.141	0.999924	1.00004	0.683606	0.985811	0.0001	5
0.142	0.999924	1.00004	0.681416	0.985711	0.0001	5
0.143	0.999923	1.00004	0.679227	0.985611	0.0001	5
0.144	0.999923	1.00004	0.677039	0.985512	0.0001	5
0.145	0.999922	1.00005	0.674852	0.985412	0.0001	5
0.146	0.999922	1.00005	0.672666	0.985313	0.0001	5
0.147	0.999921	1.00005	0.67048	0.985213	0.0001	5
0.148	0.999921	1.00005	0.668295	0.985113	0.0001	5
0.149	0.99992	1.00005	0.666111	0.985014	0.0001	5
0.15	0.99992	1.00005	0.663928	0.984914	0.0001	5
0.151	0.999919	1.00005	0.661745	0.984815	0.0001	5
0.152	0.999919	1.00005	0.659563	0.984715	0.0001	5
0.153	0.999918	1.00005	0.657382	0.984616	0.0001	5
0.154	0.999918	1.00005	0.655202	0.984516	0.0001	5
0.155	0.999917	1.00005	0.653022	0.984417	0.0001	5
0.156	0.999916	1.00005	0.650843	0.984317	0.0001	5
0.157	0.999916	1.00005	0.648665	0.984218	0.0001	5
0.158	0.999915	1.00005	0.646488	0.984118	0.0001	5
0.159	0.999915	1.00005	0.644311	0.984019	0.0001	5
0.16	0.999914	1.00005	0.642135	0.98392	0.0001	5
0.161	0.999914	1.00005	0.63996	0.98382	0.0001	5
0.162	0.999913	1.00005	0.637786	0.983721	0.0001	5
0.163	0.999913	1.00005	0.635612	0.983621	0.0001	5
0.164	0.999912	1.00005	0.633439	0.983522	0.0001	5
0.165	0.999912	1.00005	0.631267	0.983423	0.0001	5
0.166	0.999911	1.00005	0.629096	0.983323	0.0001	5
0.167	0.999911	1.00005	0.626925	0.983224	0.0001	5
0.168	0.99991	1.00005	0.624756	0.983125	0.0001	5
0.169	0.99991	1.00005	0.622587	0.983025	0.0001	5
0.17	0.999909	1.00005	0.620418	0.982926	0.0001	5
0.171	0.999908	1.00005	0.618251	0.982827	0.0001	5
0.172	0.999908	1.00005	0.616084	0.982728	0.0001	5
0.173	0.999907	1.00005	0.613918	0.982628	0.0001	5
0.174	0.999907	1.00005	0.611753	0.982529	0.0001	5
0.175	0.999906	1.00005	0.609588	0.98243	0.0001	5
0.176	0.999906	1.00005	0.607424	0.982331	0.0001	5
0.177	0.999905	1.00006	0.605261	0.982232	0.0001	5
0.178	0.999905	1.00006	0.603099	0.982132	0.0001	5
0.179	0.999904	1.00006	0.600937	0.982033	0.0001	5
