t	NADH_m	ADP_m	deltaPsi	Ca_m	Ca_c	FBP
1.021	0.999453	1.00031	-0.969904	0.903002	0.0001	5
1.022	0.999453	1.00031	-0.971493	0.902913	0.0001	5
1.023	0.999452	1.00031	-0.973081	0.902824	0.0001	5
1.024	0.999452	1.00031	-0.974669	0.902735	0.0001	5
1.025	0.999451	1.00031	-0.976256	0.902647	0.0001	5
1.026	0.999451	1.00031	-0.977842	0.902558	0.0001	5
1.027	0.99945	1.00031	-0.979428	0.902469	0.0001	5
1.028	0.99945	1.00031	-0.981013	0.90238	0.0001	5
1.029	0.999449	1.00031	-0.982598	0.902291	0.0001	5
1.03	0.999448	1.00032	-0.984181	0.902202	0.0001	5
1.031	0.999448	1.00032	-0.985765	0.902114	0.0001	5
1.032	0.999447	1.00032	-0.987347	0.902025	0.0001	5
1.033	0.999447	1.00032	-0.988929	0.901936	0.0001	5
1.034	0.999446	1.00032	-0.990511	0.901847	0.0001	5
1.035	0.999446	1.00032	-0.992092	0.901758	0.0001	5
1.036	0.999445	1.00032	-0.993672	0.90167	0.0001	5
1.037	0.999445	1.00032	-0.995251	0.901581	0.0001	5
1.038	0.999444	1.00032	-0.99683	0.901492	0.0001	5
1.039	0.999444	1.00032	-0.998409	0.901404	0.0001	5
1.04	0.999443	1.00032	-0.999986	0.901315	0.0001	5
1.041	0.999443	1.00032	-1.00156	0.901226	0.0001	5
1.042	0.999442	1.00032	-1.00314	0.901137	0.0001	5
1.043	0.999441	1.00032	-1.00472	0.901049	0.0001	5
1.044	0.999441	1.00032	-1.00629	0.90096	0.0001	5
1.045	0.99944	1.00032	-1.00787	0.900871	0.0001	5
1.046	0.99944	1.00032	-1.00944	0.900783	0.0001	5
1.047	0.999439	1.00032	-1.01101	0.900694	0.0001	5
1.048	0.999439	1.00032	-1.01259	0.900606	0.0001	5
1.049	0.999438	1.00032	-1.01416	0.900517	0.0001	5
1.05	0.999438	1.00032	-1.01573	0.900428	0.0001	5
1.051	0.999437	1.00032	-1.0173	0.90034	0.0001	5
1.052	0.999437	1.00032	-1.01887	0.900251	0.0001	5
1.053	0.999436	1.00032	-1.02044	0.900163	0.0001	5
1.054	0.999436	1.00032	-1.02201	0.900074	0.0001	5
1.055	0.999435	1.00032	-1.02358	0.899986	0.0001	5
1.056	0.999435	1.00032	-1.02515	0.899897	0.0001	5
1.057	0.999434	1.00032	-1.02671	0.899809	0.0001	5
1.058	0.999433	1.00032	-1.02828	0.89972	0.0001	5
1.059	0.999433	1.00032	-1.02985	0.899631	0.0001	5
1.06	0.999432	1.00032	-1.03141	0.899543	0.0001	5
1.061	0.999432	1.00032	-1.03298	0.899455	0.0001	5
1.062	0.999431	1.00032	-1.03454	0.899366	0.0001	5
1.063	0.999431	1.00033	-1.03611	0.899278	0.0001	5
1.064	0.99943	1.00033	-1.03767	0.899189	0.0001	5
1.065	0.99943	1.00033	-1.03923	0.899101	0.0001	5
1.066	0.999429	1.00033	-1.04079	0.899012	0.0001	5
1.067	0.999429	1.00033	-1.04235	0.898924	0.0001	5
1.068	0.999428	1.00033	-1.04392	0.898836	0.0001	5
1.069	0.999428	1.00033	-1.04548	0.898747	0.0001	5
1.07	0.999427	1.00033	-1.04703	0.898659	0.0001	5
1.071	0.999427	1.00033	-1.04859	0.89857	0.0001	5
1.072	0.999426	1.00033	-1.05015	0.898482	0.0001	5
1.073	0.999425	1.00033	-1.05171	0.898394	0.0001	5
1.074	0.999425	1.00033	-1.05327	0.898305	0.0001	5
1.075	0.999424	1.00033	-1.05482	0.898217	0.0001	5
1.076	0.999424	1.00033	-1.05638	0.898129	0.0001	5
1.077	0.999423	1.00033	-1.05793	0.89804	0.0001	5
1.078	0.999423	1.00033	-1.05949	0.897952	0.0001	5
1.079	0.999422	1.00033	-1.06104	0.897864	0.0001	5
1.08	0.999422	1.00033	-1.0626	0.897776	0.0001	5
1.081	0.999421	1.00033	-1.06415	0.897687	0.0001	5
1.082	0.999421	1.00033	-1.0657	0.897599	0.0001	5
1.083	0.99942	1.00033	-1.06725	0.897511	0.0001	5
1.084	0.99942	1.00033	-1.0688	0.897423	0.0001	5
1.085	0.999419	1.00033	-1.07035	0.897334	0.0001	5
1.086	0.999418	1.00033	-1.0719	0.897246	0.0001	5
1.087	0.999418	1.00033	-1.07345	0.897158	0.0001	5
1.088	0.999417	1.00033	-1.075	0.89707	0.0001	5
1.089	0.999417	1.00033	-1.07655	0.896982	0.0001	5
1.09	0.999416	1.00033	-1.0781	0.896893	0.0001	5
1.091	0.999416	1.00033	-1.07964	0.896805	0.0001	5
1.092	0.999415	1.00033	-1.08119	0.896717	0.0001	5
1.093	0.999415	1.00033	-1.08273	0.896629	0.0001	5
1.094	0.999414	1.00033	-1.08428	0.896541	0.0001	5
1.095	0.999414	1.00033	-1.08582	0.896453	0.0001	5
1.096	0.999413	1.00033	-1.08737	0.896365	0.0001	5
1.097	0.999413	1.00034	-1.08891	0.896277	0.0001	5
1.098	0.999412	1.00034	-1.09045	0.896189	0.0001	5
1.099	0.999412	1.00034	-1.09199	0.8961	0.0001	5
1.1	0.999411	1.00034	-1.09354	0.896012	0.0001	5
1.101	0.99941	1.00034	-1.09508	0.895924	0.0001	5
1.102	0.99941	1.00034	-1.09662	0.895836	0.0001	5
1.103	0.999409	1.00034	-1.09816	0.895748	0.0001	5
1.104	0.999409	1.00034	-1.09969	0.89566	0.0001	5
1.105	0.999408	1.00034	-1.10123	0.895572	0.0001	5
1.106	0.999408	1.00034	-1.10277	0.895484	0.0001	5
1.107	0.999407	1.00034	-1.10431	0.895396	0.0001	5
1.108	0.999407	1.00034	-1.10584	0.895308	0.0001	5
1.109	0.999406	1.00034	-1.10738	0.89522	0.0001	5
1.11	0.999406	1.00034	-1.10892	0.895133	0.0001	5
1.111	0.999405	1.00034	-1.11045	0.895045	0.0001	5
1.112	0.999405	1.00034	-1.11198	0.894957	0.0001	5
1.113	0.999404	1.00034	-1.11352	0.894869	0.0001	5
1.114	0.999403	1.00034	-1.11505	0.894781	0.0001	5
1.115	0.999403	1.00034	-1.11658	0.894693	0.0001	5
1.116	0.999402	1.00034	-1.11811	0.894605	0.0001	5
1.117	0.999402	1.00034	-1.11964	0.894517	0.0001	5
1.118	0.999401	1.00034	-1.12118	0.894429	0.0001	5
1.119	0.999401	1.00034	-1.1227	0.894341	0.0001	5
1.12	0.9994	1.00034	-1.12423	0.894254	0.0001	5
1.121	0.9994	1.00034	-1.12576	0.894166	0.0001	5
1.122	0.999399	1.00034	-1.12729	0.894078	0.0001	5
1.123	0.999399	1.00034	-1.12882	0.89399	0.0001	5
1.124	0.999398	1.00034	-1.13034	0.893902	0.0001	5
1.125	0.999398	1.00034	-1.13187	0.893815	0.0001	5
1.126	0.999397	1.00034	-1.1334	0.893727	0.0001	5
1.127	0.999397	1.00034	-1.13492	0.893639	0.0001	5
1.128	0.999396	1.00034	-1.13645	0.893551	0.0001	5
1.129	0.999395	1.00034	-1.13797	0.893464	0.0001	5
1.13	0.999395	1.00035	-1.13949	0.893376	0.0001	5
1.131	0.999394	1.00035	-1.14102	0.893288	0.0001	5
1.132	0.999394	1.00035	-1.14254	0.8932	0.0001	5
1.133	0.999393	1.00035	-1.14406	0.893113	0.0001	5
1.134	0.999393	1.00035	-1.14558	0.893025	0.0001	5
1.135	0.999392	1.00035	-1.1471	0.892937	0.0001	5
1.136	0.999392	1.00035	-1.14862	0.89285	0.0001	5
1.137	0.999391	1.00035	-1.15014	0.892762	0.0001	5
1.138	0.999391	1.00035	-1.15166	0.892674	0.0001	5
1.139	0.99939	1.00035	-1.15317	0.892587	0.0001	5
1.14	0.99939	1.00035	-1.15469	0.892499	0.0001	5
1.141	0.999389	1.00035	-1.15621	0.892412	0.0001	5
1.142	0.999388	1.00035	-1.15772	0.892324	0.0001	5
1.143	0.999388	1.00035	-1.15924	0.892236	0.0001	5
1.144	0.999387	1.00035	-1.16075	0.892149	0.0001	5
1.145	0.999387	1.00035	-1.16227	0.892061	0.0001	5
1.146	0.999386	1.00035	-1.16378	0.891974	0.0001	5
1.147	0.999386	1.00035	-1.1653	0.891886	0.0001	5
1.148	0.999385	1.00035	-1.16681	0.891799	0.0001	5
1.149	0.999385	1.00035	-1.16832	0.891711	0.0001	5
1.15	0.999384	1.00035	-1.16983	0.891624	0.0001	5
1.151	0.999384	1.00035	-1.17134	0.891536	0.0001	5
1.152	0.999383	1.00035	-1.17285	0.891449	0.0001	5
1.153	0.999383	1.00035	-1.17436	0.891361	0.0001	5
1.154	0.999382	1.00035	-1.17587	0.891274	0.0001	5
1.155	0.999382	1.00035	-1.17738	0.891186	0.0001	5
1.156	0.999381	1.00035	-1.17889	0.891099	0.0001	5
1.157	0.99938	1.00035	-1.18039	0.891011	0.0001	5
1.158	0.99938	1.00035	-1.1819	0.890924	0.0001	5
1.159	0.999379	1.00035	-1.1834	0.890836	0.0001	5
1.16	0.999379	1.00035	-1.18491	0.890749	0.0001	5
1.161	0.999378	1.00035	-1.18641	0.890662	0.0001	5
1.162	0.999378	1.00035	-1.18792	0.890574	0.0001	5
1.163	0.999377	1.00036	-1.18942	0.890487	0.0001	5
1.164	0.999377	1.00036	-1.19093	0.890399	0.0001	5
1.165	0.999376	1.00036	-1.19243	0.890312	0.0001	5
1.166	0.999376	1.00036	-1.19393	0.890225	0.0001	5
1.167	0.999375	1.00036	-1.19543	0.890137	0.0001	5
1.168	0.999375	1.00036	-1.19693	0.89005	0.0001	5
1.169	0.999374	1.00036	-1.19843	0.889963	0.0001	5
1.17	0.999373	1.00036	-1.19993	0.889876	0.0001	5
1.171	0.999373	1.00036	-1.20143	0.889788	0.0001	5
1.172	0.999372	1.00036	-1.20293	0.889701	0.0001	5
1.173	0.999372	1.00036	-1.20442	0.889614	0.0001	5
1.174	0.999371	1.00036	-1.20592	0.889526	0.0001	5
1.175	0.999371	1.00036	-1.20742	0.889439	0.0001	5
1.176	0.99937	1.00036	-1.20891	0.889352	0.0001	5
1.177	0.99937	1.00036	-1.21041	0.889265	0.0001	5
1.178	0.999369	1.00036	-1.2119	0.889177	0.0001	5
1.179	0.999369	1.00036	-1.2134	0.88909	0.0001	5
1.18	0.999368	1.00036	-1.21489	0.889003	0.0001	5
1.181	0.999368	1.00036	-1.21638	0.888916	0.0001	5
1.182	0.999367	1.00036	-1.21787	0.888829	0.0001	5
1.183	0.999367	1.00036	-1.21937	0.888742	0.0001	5
1.184	0.999366	1.00036	-1.22086	0.888654	0.0001	5
1.185	0.999365	1.00036	-1.22235	0.888567	0.0001	5
1.186	0.999365	1.00036	-1.22384	0.88848	0.0001	5
1.187	0.999364	1.00036	-1.22533	0.888393	0.0001	5
1.188	0.999364	1.00036	-1.22682	0.888306	0.0001	5
1.189	0.999363	1.00036	-1.2283	0.888219	0.0001	5
1.19	0.999363	1.00036	-1.22979	0.888132	0.0001	5
1.191	0.999362	1.00036	-1.23128	0.888045	0.0001	5
1.192	0.999362	1.00036	-1.23276	0.887958	0.0001	5
1.193	0.999361	1.00036	-1.23425	0.887871	0.0001	5
1.194	0.999361	1.00036	-1.23573	0.887783	0.0001	5
1.195	0.99936	1.00036	-1.23722	0.887696	0.0001	5
1.196	0.99936	1.00036	-1.2387	0.887609	0.0001	5
1.197	0.999359	1.00037	-1.24019	0.887522	0.0001	5
1.198	0.999358	1.00037	-1.24167	0.887435	0.0001	5
1.199	0.999358	1.00037	-1.24315	0.887348	0.0001	5
1.2	0.999357	1.00037	-1.24463	0.887261	0.0001	5
1.201	0.999357	1.00037	-1.24611	0.887174	0.0001	5
1.202	0.999356	1.00037	-1.24759	0.887088	0.0001	5
1.203	0.999356	1.00037	-1.24907	0.887001	0.0001	5
1.204	0.999355	1.00037	-1.25055	0.886914	0.0001	5
1.205	0.999355	1.00037	-1.25203	0.886827	0.0001	5
1.206	0.999354	1.00037	-1.25351	0.88674	0.0001	5
1.207	0.999354	1.00037	-1.25499	0.886653	0.0001	5
1.208	0.999353	1.00037	-1.25646	0.886566	0.0001	5
1.209	0.999353	1.00037	-1.25794	0.886479	0.0001	5
1.21	0.999352	1.00037	-1.25941	0.886392	0.0001	5
1.211	0.999352	1.00037	-1.26089	0.886305	0.0001	5
1.212	0.999351	1.00037	-1.26236	0.886218	0.0001	5
1.213	0.99935	1.00037	-1.26384	0.886132	0.0001	5
1.214	0.99935	1.00037	-1.26531	0.886045	0.0001	5
1.215	0.999349	1.00037	-1.26678	0.885958	0.0001	5
1.216	0.999349	1.00037	-1.26826	0.885871	0.0001	5
1.217	0.999348	1.00037	-1.26973	0.885784	0.0001	5
1.218	0.999348	1.00037	-1.2712	0.885698	0.0001	5
1.219	0.999347	1.00037	-1.27267	0.885611	0.0001	5
1.22	0.999347	1.00037	-1.27414	0.885524	0.0001	5
1.221	0.999346	1.00037	-1.27561	0.885437	0.0001	5
1.222	0.999346	1.00037	-1.27708	0.885351	0.0001	5
1.223	0.999345	1.00037	-1.27854	0.885264	0.0001	5
1.224	0.999345	1.00037	-1.28001	0.885177	0.0001	5
1.225	0.999344	1.00037	-1.28148	0.88509	0.0001	5
1.226	0.999344	1.00037	-1.28294	0.885004	0.0001	5
1.227	0.999343	1.00037	-1.28441	0.884917	0.0001	5
1.228	0.999342	1.00037	-1.28587	0.88483	0.0001	5
1.229	0.999342	1.00037	-1.28734	0.884744	0.0001	5
1.23	0.999341	1.00038	-1.2888	0.884657	0.0001	5
1.231	0.999341	1.00038	-1.29027	0.88457	0.0001	5
1.232	0.99934	1.00038	-1.29173	0.884484	0.0001	5
1.233	0.99934	1.00038	-1.29319	0.884397	0.0001	5
1.234	0.999339	1.00038	-1.29465	0.88431	0.0001	5
1.235	0.999339	1.00038	-1.29611	0.884224	0.0001	5
1.236	0.999338	1.00038	-1.29757	0.884137	0.0001	5
1.237	0.999338	1.00038	-1.29903	0.884051	0.0001	5
1.238	0.999337	1.00038	-1.30049	0.883964	0.0001	5
1.239	0.999337	1.00038	-1.30195	0.883877	0.0001	5
1.24	0.999336	1.00038	-1.30341	0.883791	0.0001	5
1.241	0.999335	1.00038	-1.30487	0.883704	0.0001	5
1.242	0.999335	1.00038	-1.30632	0.883618	0.0001	5
1.243	0.999334	1.00038	-1.30778	0.883531	0.0001	5
1.244	0.999334	1.00038	-1.30924	0.883445	0.0001	5
1.245	0.999333	1.00038	-1.31069	0.883358	0.0001	5
1.246	0.999333	1.00038	-1.31214	0.883272	0.0001	5
1.247	0.999332	1.00038	-1.3136	0.883185	0.0001	5
1.248	0.999332	1.00038	-1.31505	0.883099	0.0001	5
1.249	0.999331	1.00038	-1.3165	0.883012	0.0001	5
1.25	0.999331	1.00038	-1.31796	0.882926	0.0001	5
1.251	0.99933	1.00038	-1.31941	0.882839	0.0001	5
1.252	0.99933	1.00038	-1.32086	0.882753	0.0001	5
1.253	0.999329	1.00038	-1.32231	0.882666	0.0001	5
1.254	0.999329	1.00038	-1.32376	0.88258	0.0001	5
1.255	0.999328	1.00038	-1.32521	0.882494	0.0001	5
1.256	0.999327	1.00038	-1.32666	0.882407	0.0001	5
1.257	0.999327	1.00038	-1.3281	0.882321	0.0001	5
1.258	0.999326	1.00038	-1.32955	0.882235	0.0001	5
1.259	0.999326	1.00038	-1.331	0.882148	0.0001	5
1.26	0.999325	1.00038	-1.33245	0.882062	0.0001	5
1.261	0.999325	1.00038	-1.33389	0.881975	0.0001	5
1.262	0.999324	1.00038	-1.33534	0.881889	0.0001	5
1.263	0.999324	1.00038	-1.33678	0.881803	0.0001	5
1.264	0.999323	1.00039	-1.33822	0.881717	0.0001	5
1.265	0.999323	1.00039	-1.33967	0.88163	0.0001	5
1.266	0.999322	1.00039	-1.34111	0.881544	0.0001	5
1.267	0.999322	1.00039	-1.34255	0.881458	0.0001	5
1.268	0.999321	1.00039	-1.34399	0.881371	0.0001	5
1.269	0.99932	1.00039	-1.34544	0.881285	0.0001	5
1.27	0.99932	1.00039	-1.34688	0.881199	0.0001	5
1.271	0.999319	1.00039	-1.34832	0.881113	0.0001	5
1.272	0.999319	1.00039	-1.34976	0.881026	0.0001	5
1.273	0.999318	1.00039	-1.35119	0.88094	0.0001	5
1.274	0.999318	1.00039	-1.35263	0.880854	0.0001	5
1.275	0.999317	1.00039	-1.35407	0.880768	0.0001	5
1.276	0.999317	1.00039	-1.35551	0.880682	0.0001	5
1.277	0.999316	1.00039	-1.35694	0.880595	0.0001	5
1.278	0.999316	1.00039	-1.35838	0.880509	0.0001	5
1.279	0.999315	1.00039	-1.35981	0.880423	0.0001	5
1.28	0.999315	1.00039	-1.36125	0.880337	0.0001	5
1.281	0.999314	1.00039	-1.36268	0.880251	0.0001	5
1.282	0.999314	1.00039	-1.36412	0.880165	0.0001	5
1.283	0.999313	1.00039	-1.36555	0.880079	0.0001	5
1.284	0.999312	1.00039	-1.36698	0.879993	0.0001	5
1.285	0.999312	1.00039	-1.36841	0.879906	0.0001	5
1.286	0.999311	1.00039	-1.36984	0.87982	0.0001	5
1.287	0.999311	1.00039	-1.37127	0.879734	0.0001	5
1.288	0.99931	1.00039	-1.3727	0.879648	0.0001	5
1.289	0.99931	1.00039	-1.37413	0.879562	0.0001	5
1.29	0.999309	1.00039	-1.37556	0.879476	0.0001	5
1.291	0.999309	1.00039	-1.37699	0.87939	0.0001	5
1.292	0.999308	1.00039	-1.37842	0.879304	0.0001	5
1.293	0.999308	1.00039	-1.37985	0.879218	0.0001	5
1.294	0.999307	1.00039	-1.38127	0.879132	0.0001	5
1.295	0.999307	1.00039	-1.3827	0.879046	0.0001	5
1.296	0.999306	1.00039	-1.38412	0.87896	0.0001	5
1.297	0.999305	1.0004	-1.38555	0.878874	0.0001	5
1.298	0.999305	1.0004	-1.38697	0.878788	0.0001	5
1.299	0.999304	1.0004	-1.3884	0.878702	0.0001	5
1.3	0.999304	1.0004	-1.38982	0.878616	0.0001	5
1.301	0.999303	1.0004	-1.39124	0.87853	0.0001	5
1.302	0.999303	1.0004	-1.39266	0.878444	0.0001	5
1.303	0.999302	1.0004	-1.39408	0.878359	0.0001	5
1.304	0.999302	1.0004	-1.39551	0.878273	0.0001	5
1.305	0.999301	1.0004	-1.39693	0.878187	0.0001	5
1.306	0.999301	1.0004	-1.39835	0.878101	0.0001	5
1.307	0.9993	1.0004	-1.39976	0.878015	0.0001	5
1.308	0.9993	1.0004	-1.40118	0.877929	0.0001	5
1.309	0.999299	1.0004	-1.4026	0.877843	0.0001	5
1.31	0.999299	1.0004	-1.40402	0.877758	0.0001	5
1.311	0.999298	1.0004	-1.40543	0.877672	0.0001	5
1.312	0.999297	1.0004	-1.40685	0.877586	0.0001	5
1.313	0.999297	1.0004	-1.40827	0.8775	0.0001	5
1.314	0.999296	1.0004	-1.40968	0.877414	0.0001	5
1.315	0.999296	1.0004	-1.4111	0.877329	0.0001	5
1.316	0.999295	1.0004	-1.41251	0.877243	0.0001	5
1.317	0.999295	1.0004	-1.41392	0.877157	0.0001	5
1.318	0.999294	1.0004	-1.41534	0.877071	0.0001	5
1.319	0.999294	1.0004	-1.41675	0.876986	0.0001	5
1.32	0.999293	1.0004	-1.41816	0.8769	0.0001	5
1.321	0.999293	1.0004	-1.41957	0.876814	0.0001	5
1.322	0.999292	1.0004	-1.42098	0.876728	0.0001	5
1.323	0.999292	1.0004	-1.42239	0.876643	0.0001	5
1.324	0.999291	1.0004	-1.4238	0.876557	0.0001	5
1.325	0.99929	1.0004	-1.42521	0.876471	0.0001	5
1.326	0.99929	1.0004	-1.42662	0.876386	0.0001	5
1.327	0.999289	1.0004	-1.42802	0.8763	0.0001	5
1.328	0.999289	1.0004	-1.42943	0.876214	0.0001	5
1.329	0.999288	1.0004	-1.43084	0.876129	0.0001	5
1.33	0.999288	1.0004	-1.43224	0.876043	0.0001	5
1.331	0.999287	1.00041	-1.43365	0.875957	0.0001	5
1.332	0.999287	1.00041	-1.43505	0.875872	0.0001	5
1.333	0.999286	1.00041	-1.43646	0.875786	0.0001	5
1.334	0.999286	1.00041	-1.43786	0.875701	0.0001	5
1.335	0.999285	1.00041	-1.43926	0.875615	0.0001	5
1.336	0.999285	1.00041	-1.44066	0.87553	0.0001	5
1.337	0.999284	1.00041	-1.44207	0.875444	0.0001	5
1.338	0.999284	1.00041	-1.44347	0.875358	0.0001	5
1.339	0.999283	1.00041	-1.44487	0.875273	0.0001	5
1.34	0.999282	1.00041	-1.44627	0.875187	0.0001	5
1.341	0.999282	1.00041	-1.44767	0.875102	0.0001	5
1.342	0.999281	1.00041	-1.44907	0.875016	0.0001	5
1.343	0.999281	1.00041	-1.45046	0.874931	0.0001	5
1.344	0.99928	1.00041	-1.45186	0.874845	0.0001	5
1.345	0.99928	1.00041	-1.45326	0.87476	0.0001	5
1.346	0.999279	1.00041	-1.45466	0.874674	0.0001	5
1.347	0.999279	1.00041	-1.45605	0.874589	0.0001	5
1.348	0.999278	1.00041	-1.45745	0.874504	0.0001	5
1.349	0.999278	1.00041	-1.45884	0.874418	0.0001	5
1.35	0.999277	1.00041	-1.46024	0.874333	0.0001	5
1.351	0.999277	1.00041	-1.46163	0.874247	0.0001	5
1.352	0.999276	1.00041	-1.46302	0.874162	0.0001	5
1.353	0.999275	1.00041	-1.46442	0.874077	0.0001	5
1.354	0.999275	1.00041	-1.46581	0.873991	0.0001	5
1.355	0.999274	1.00041	-1.4672	0.873906	0.0001	5
1.356	0.999274	1.00041	-1.46859	0.87382	0.0001	5
1.357	0.999273	1.00041	-1.46998	0.873735	0.0001	5
1.358	0.999273	1.00041	-1.47137	0.87365	0.0001	5
1.359	0.999272	1.00041	-1.47276	0.873564	0.0001	5
1.36	0.999272	1.00041	-1.47415	0.873479	0.0001	5
1.361	0.999271	1.00041	-1.47554	0.873394	0.0001	5
1.362	0.999271	1.00041	-1.47692	0.873309	0.0001	5
1.363	0.99927	1.00041	-1.47831	0.873223	0.0001	5
1.364	0.99927	1.00042	-1.4797	0.873138	0.0001	5
1.365	0.999269	1.00042	-1.48108	0.873053	0.0001	5
1.366	0.999269	1.00042	-1.48247	0.872967	0.0001	5
1.367	0.999268	1.00042	-1.48385	0.872882	0.0001	5
1.368	0.999267	1.00042	-1.48524	0.872797	0.0001	5
1.369	0.999267	1.00042	-1.48662	0.872712	0.0001	5
1.37	0.999266	1.00042	-1.488	0.872627	0.0001	5
1.371	0.999266	1.00042	-1.48938	0.872541	0.0001	5
1.372	0.999265	1.00042	-1.49077	0.872456	0.0001	5
1.373	0.999265	1.00042	-1.49215	0.872371	0.0001	5
1.374	0.999264	1.00042	-1.49353	0.872286	0.0001	5
1.375	0.999264	1.00042	-1.49491	0.872201	0.0001	5
1.376	0.999263	1.00042	-1.49629	0.872115	0.0001	5
1.377	0.999263	1.00042	-1.49767	0.87203	0.0001	5
1.378	0.999262	1.00042	-1.49904	0.871945	0.0001	5
1.379	0.999262	1.00042	-1.50042	0.87186	0.0001	5
1.38	0.999261	1.00042	-1.5018	0.871775	0.0001	5
1.381	0.999261	1.00042	-1.50318	0.87169	0.0001	5
1.382	0.99926	1.00042	-1.50455	0.871605	0.0001	5
1.383	0.999259	1.00042	-1.50593	0.87152	0.0001	5
1.384	0.999259	1.00042	-1.5073	0.871435	0.0001	5
1.385	0.999258	1.00042	-1.50868	0.87135	0.0001	5
1.386	0.999258	1.00042	-1.51005	0.871264	0.0001	5
1.387	0.999257	1.00042	-1.51142	0.871179	0.0001	5
1.388	0.999257	1.00042	-1.5128	0.871094	0.0001	5
1.389	0.999256	1.00042	-1.51417	0.871009	0.0001	5
1.39	0.999256	1.00042	-1.51554	0.870924	0.0001	5
1.391	0.999255	1.00042	-1.51691	0.870839	0.0001	5
1.392	0.999255	1.00042	-1.51828	0.870754	0.0001	5
1.393	0.999254	1.00042	-1.51965	0.870669	0.0001	5
1.394	0.999254	1.00042	-1.52102	0.870584	0.0001	5
1.395	0.999253	1.00042	-1.52239	0.870499	0.0001	5
1.396	0.999252	1.00042	-1.52376	0.870415	0.0001	5
1.397	0.999252	1.00042	-1.52512	0.87033	0.0001	5
1.398	0.999251	1.00043	-1.52649	0.870245	0.0001	5
1.399	0.999251	1.00043	-1.52786	0.87016	0.0001	5
1.4	0.99925	1.00043	-1.52922	0.870075	0.0001	5
1.401	0.99925	1.00043	-1.53059	0.86999	0.0001	5
1.402	0.999249	1.00043	-1.53195	0.869905	0.0001	5
1.403	0.999249	1.00043	-1.53332	0.86982	0.0001	5
1.404	0.999248	1.00043	-1.53468	0.869735	0.0001	5
1.405	0.999248	1.00043	-1.53604	0.86965	0.0001	5
1.406	0.999247	1.00043	-1.53741	0.869566	0.0001	5
1.407	0.999247	1.00043	-1.53877	0.869481	0.0001	5
1.408	0.999246	1.00043	-1.54013	0.869396	0.0001	5
1.409	0.999246	1.00043	-1.54149	0.869311	0.0001	5
1.41	0.999245	1.00043	-1.54285	0.869226	0.0001	5
1.411	0.999244	1.00043	-1.54421	0.869141	0.0001	5
1.412	0.999244	1.00043	-1.54557	0.869057	0.0001	5
1.413	0.999243	1.00043	-1.54693	0.868972	0.0001	5
1.414	0.999243	1.00043	-1.54829	0.868887	0.0001	5
1.415	0.999242	1.00043	-1.54964	0.868802	0.0001	5
1.416	0.999242	1.00043	-1.551	0.868718	0.0001	5
1.417	0.999241	1.00043	-1.55236	0.868633	0.0001	5
1.418	0.999241	1.00043	-1.55371	0.868548	0.0001	5
1.419	0.99924	1.00043	-1.55507	0.868463	0.0001	5
1.42	0.99924	1.00043	-1.55642	0.868379	0.0001	5
1.421	0.999239	1.00043	-1.55778	0.868294	0.0001	5
1.422	0.999239	1.00043	-1.55913	0.868209	0.0001	5
1.423	0.999238	1.00043	-1.56048	0.868125	0.0001	5
1.424	0.999237	1.00043	-1.56183	0.86804	0.0001	5
1.425	0.999237	1.00043	-1.56319	0.867955	0.0001	5
1.426	0.999236	1.00043	-1.56454	0.867871	0.0001	5
1.427	0.999236	1.00043	-1.56589	0.867786	0.0001	5
1.428	0.999235	1.00043	-1.56724	0.867701	0.0001	5
1.429	0.999235	1.00043	-1.56859	0.867617	0.0001	5
1.43	0.999234	1.00043	-1.56994	0.867532	0.0001	5
1.431	0.999234	1.00044	-1.57128	0.867448	0.0001	5
1.432	0.999233	1.00044	-1.57263	0.867363	0.0001	5
1.433	0.999233	1.00044	-1.57398	0.867278	0.0001	5
1.434	0.999232	1.00044	-1.57533	0.867194	0.0001	5
1.435	0.999232	1.00044	-1.57667	0.867109	0.0001	5
1.436	0.999231	1.00044	-1.57802	0.867025	0.0001	5
1.437	0.999231	1.00044	-1.57936	0.86694	0.0001	5
1.438	0.99923	1.00044	-1.58071	0.866856	0.0001	5
1.439	0.999229	1.00044	-1.58205	0.866771	0.0001	5
1.44	0.999229	1.00044	-1.58339	0.866687	0.0001	5
1.441	0.999228	1.00044	-1.58474	0.866602	0.0001	5
1.442	0.999228	1.00044	-1.58608	0.866518	0.0001	5
1.443	0.999227	1.00044	-1.58742	0.866433	0.0001	5
1.444	0.999227	1.00044	-1.58876	0.866349	0.0001	5
1.445	0.999226	1.00044	-1.5901	0.866264	0.0001	5
1.446	0.999226	1.00044	-1.59144	0.86618	0.0001	5
1.447	0.999225	1.00044	-1.59278	0.866095	0.0001	5
1.448	0.999225	1.00044	-1.59412	0.866011	0.0001	5
1.449	0.999224	1.00044	-1.59546	0.865927	0.0001	5
1.45	0.999224	1.00044	-1.5968	0.865842	0.0001	5
1.451	0.999223	1.00044	-1.59813	0.865758	0.0001	5
1.452	0.999222	1.00044	-1.59947	0.865673	0.0001	5
1.453	0.999222	1.00044	-1.60081	0.865589	0.0001	5
1.454	0.999221	1.00044	-1.60214	0.865505	0.0001	5
1.455	0.999221	1.00044	-1.60348	0.86542	0.0001	5
1.456	0.99922	1.00044	-1.60481	0.865336	0.0001	5
