t	FBP	Ca_c	NADH_m	Ca_m	deltaPsi	ATP_m	J_o
0.00143333	1	0.1	35.6452	0.036091	152.248	1649.8	0.156561
0.00145	1	0.1	35.6447	0.036092	152.248	1649.81	0.156559
0.00146667	1	0.1	35.6442	0.036093	152.248	1649.82	0.156558
0.00148333	1	0.1	35.6437	0.036094	152.247	1649.82	0.156556
0.0015	1	0.1	35.6432	0.036095	152.247	1649.83	0.156555
0.00151667	1	0.1	35.6427	0.036096	152.247	1649.84	0.156553
0.00153333	1	0.1	35.6422	0.036097	152.247	1649.85	0.156551
0.00155	1	0.1	35.6417	0.036098	152.247	1649.86	0.15655
0.00156667	1	0.1	35.6412	0.036099	152.247	1649.87	0.156548
0.00158333	1	0.1	35.6407	0.0361	152.247	1649.88	0.156547
0.0016	1	0.1	35.6402	0.036101	152.246	1649.89	0.156545
0.00161667	1	0.1	35.6397	0.036102	152.246	1649.9	0.156544
0.00163333	1	0.1	35.6393	0.036103	152.246	1649.91	0.156542
0.00165	1	0.1	35.6388	0.036104	152.246	1649.92	0.156541
0.00166667	1	0.1	35.6383	0.036105	152.246	1649.93	0.156539
0.00168333	1	0.1	35.6378	0.036106	152.246	1649.93	0.156538
0.0017	1	0.1	35.6373	0.0361069	152.246	1649.94	0.156536
0.00171667	1	0.1	35.6369	0.0361079	152.245	1649.95	0.156535
0.00173333	1	0.1	35.6364	0.0361089	152.245	1649.96	0.156533
0.00175	1	0.1	35.6359	0.0361099	152.245	1649.97	0.156532
0.00176667	1	0.1	35.6355	0.0361109	152.245	1649.98	0.15653
0.00178333	1	0.1	35.635	0.0361119	152.245	1649.99	0.156529
0.0018	1	0.1	35.6346	0.0361128	152.245	1650	0.156527
0.00181667	1	0.1	35.6341	0.0361138	152.245	1650.01	0.156526
0.00183333	1	0.1	35.6337	0.0361148	152.245	1650.02	0.156524
0.00185	1	0.1	35.6332	0.0361158	152.244	1650.03	0.156523
0.00186667	1	0.1	35.6328	0.0361168	152.244	1650.03	0.156522
0.00188333	1	0.1	35.6323	0.0361177	152.244	1650.04	0.15652
0.0019	1	0.1	35.6319	0.0361187	152.244	1650.05	0.156519
0.00191667	1	0.1	35.6314	0.0361197	152.244	1650.06	0.156517
0.00193333	1	0.1	35.631	0.0361207	152.244	1650.07	0.156516
0.00195	1	0.1	35.6305	0.0361216	152.244	1650.08	0.156514
0.00196667	1	0.1	35.6301	0.0361226	152.244	1650.09	0.156513
0.00198333	1	0.1	35.6297	0.0361236	152.243	1650.1	0.156512
0.002	1	0.1	35.6292	0.0361245	152.243	1650.11	0.15651
0.00201667	1	0.1	35.6288	0.0361255	152.243	1650.12	0.156509
0.00203333	1	0.1	35.6284	0.0361265	152.243	1650.12	0.156508
0.00205	1	0.1	35.628	0.0361274	152.243	1650.13	0.156506
0.00206667	1	0.1	35.6275	0.0361284	152.243	1650.14	0.156505
0.00208333	1	0.1	35.6271	0.0361294	152.243	1650.15	0.156504
0.0021	1	0.1	35.6267	0.0361303	152.243	1650.16	0.156502
0.00211667	1	0.1	35.6263	0.0361313	152.242	1650.17	0.156501
0.00213333	1	0.1	35.6259	0.0361322	152.242	1650.18	0.1565
0.00215	1	0.1	35.6255	0.0361332	152.242	1650.19	0.156498
0.00216667	1	0.1	35.6251	0.0361342	152.242	1650.2	0.156497
0.00218333	1	0.1	35.6247	0.0361351	152.242	1650.21	0.156496
0.0022	1	0.1	35.6243	0.0361361	152.242	1650.21	0.156495
0.00221667	1	0.1	35.6239	0.036137	152.242	1650.22	0.156493
0.00223333	1	0.1	35.6235	0.036138	152.242	1650.23	0.156492
0.00225	1	0.1	35.6231	0.0361389	152.242	1650.24	0.156491
0.00226667	1	0.1	35.6227	0.0361399	152.241	1650.25	0.156489
0.00228333	1	0.1	35.6223	0.0361408	152.241	1650.26	0.156488
0.0023	1	0.1	35.6219	0.0361418	152.241	1650.27	0.156487
0.00231667	1	0.1	35.6215	0.0361427	152.241	1650.28	0.156486
0.00233333	1	0.1	35.6211	0.0361437	152.241	1650.29	0.156485
0.00235	1	0.1	35.6207	0.0361446	152.241	1650.29	0.156483
0.00236667	1	0.1	35.6203	0.0361455	152.241	1650.3	0.156482
0.00238333	1	0.1	35.62	0.0361465	152.241	1650.31	0.156481
0.0024	1	0.1	35.6196	0.0361474	152.241	1650.32	0.15648
0.00241667	1	0.1	35.6192	0.0361484	152.24	1650.33	0.156478
0.00243333	1	0.1	35.6188	0.0361493	152.24	1650.34	0.156477
0.00245	1	0.1	35.6185	0.0361502	152.24	1650.35	0.156476
0.00246667	1	0.1	35.6181	0.0361512	152.24	1650.36	0.156475
0.00248333	1	0.1	35.6177	0.0361521	152.24	1650.36	0.156474
0.0025	1	0.1	35.6174	0.0361531	152.24	1650.37	0.156473
0.00251667	1	0.1	35.617	0.036154	152.24	1650.38	0.156471
0.00253333	1	0.1	35.6166	0.0361549	152.24	1650.39	0.15647
0.00255	1	0.1	35.6163	0.0361558	152.24	1650.4	0.156469
0.00256667	1	0.1	35.6159	0.0361568	152.24	1650.41	0.156468
0.00258333	1	0.1	35.6156	0.0361577	152.239	1650.42	0.156467
0.0026	1	0.1	35.6152	0.0361586	152.239	1650.43	0.156466
0.00261667	1	0.1	35.6148	0.0361596	152.239	1650.44	0.156465
0.00263333	1	0.1	35.6145	0.0361605	152.239	1650.44	0.156464
0.00265	1	0.1	35.6141	0.0361614	152.239	1650.45	0.156462
0.00266667	1	0.1	35.6138	0.0361623	152.239	1650.46	0.156461
0.00268333	1	0.1	35.6135	0.0361633	152.239	1650.47	0.15646
0.0027	1	0.1	35.6131	0.0361642	152.239	1650.48	0.156459
0.00271667	1	0.1	35.6128	0.0361651	152.239	1650.49	0.156458
0.00273333	1	0.1	35.6124	0.036166	152.238	1650.5	0.156457
0.00275	1	0.1	35.6121	0.0361669	152.238	1650.5	0.156456
0.00276667	1	0.1	35.6118	0.0361678	152.238	1650.51	0.156455
0.00278333	1	0.1	35.6114	0.0361688	152.238	1650.52	0.156454
0.0028	1	0.1	35.6111	0.0361697	152.238	1650.53	0.156453
