t_min	J_ANT	J_ADP_ext_sum	J_ADP_ext_dot	ADP_c
0.0000000000	-7.0039812017	0.0000000000	0.0000000000	0.0000000000
0.0166666667	0.0071578400	0.0000000000	0.0000000000	0.0770097749
0.0333333333	0.0069705483	0.0000000000	0.0000000000	0.0699321355
0.0500000000	0.0067553737	0.0000000000	0.0000000000	0.0630700308
0.0666666667	0.0065509274	0.0000000000	0.0000000000	0.0564177750
0.0833333333	0.0063568311	0.0000000000	0.0000000000	0.0499647244
0.1000000000	0.0061722785	0.0000000000	0.0000000000	0.0437009326
0.1166666667	0.0059965278	0.0000000000	0.0000000000	0.0376172343
0.1333333333	0.0058289227	0.0000000000	0.0000000000	0.0317051626
0.1500000000	0.0056688813	0.0000000000	0.0000000000	0.0259568684
0.1666666667	0.0055158843	0.0000000000	0.0000000000	0.0203650525
0.1833333333	0.0053694653	0.0000000000	0.0000000000	0.0149229077
0.2000000000	0.0052292033	0.0000000000	0.0000000000	0.0096240700
0.2166666667	0.0050947165	0.0000000000	0.0000000000	0.0044625765
0.2333333333	0.0000000006	0.0000000000	0.0000000000	0.0000000000
0.2500000000	0.0000000006	0.0000000000	0.0000000000	0.0000000000
0.2666666667	0.0000000006	0.0000000000	0.0000000000	0.0000000000
0.2833333333	0.0000000006	0.0000000000	0.0000000000	0.0000000000
0.3000000000	0.0000000006	0.0000000000	0.0000000000	0.0000000000
0.3166666667	0.0000000006	0.0000000000	0.0000000000	0.0000000000
0.3333333333	0.0000000006	0.0000000000	0.0000000000	0.0000000000
0.3500000000	0.0000000006	0.0000000000	0.0000000000	0.0000000000
0.3666666667	0.0000000006	0.0000000000	0.0000000000	0.0000000000
0.3833333333	0.0000000006	0.0000000000	0.0000000000	0.0000000000
0.4000000000	0.0000000006	0.0000000000	0.0000000000	0.0000000000
0.4166666667	0.0000000006	0.0000000000	0.0000000000	0.0000000000
0.4333333333	0.0000000006	0.0000000000	0.0000000000	0.0000000000
0.4500000000	0.0000000007	0.0000000000	0.0000000000	0.0000000000
0.4666666667	0.0000000007	0.0000000000	0.0000000000	0.0000000000
0.4833333333	0.0000000007	0.0000000000	0.0000000000	0.0000000000
0.5000000000	0.0000000007	0.0000000000	0.0000000000	0.0000000000
0.5166666667	0.0000000007	0.0000000000	0.0000000000	0.0000000000
0.5333333333	0.0000000007	0.0000000000	0.0000000000	0.0000000000
0.5500000000	0.0000000007	0.0000000000	0.0000000000	0.0000000000
0.5666666667	0.0000000007	0.0000000000	0.0000000000	0.0000000000
0.5833333333	0.0000000007	0.0000000000	0.0000000000	0.0000000000
0.6000000000	0.0000000007	0.0000000000	0.0000000000	0.0000000000
