t_min	J_o
1.4833333333	0.5969750279
1.5000000000	0.5969311977
1.5166666667	0.5968860756
1.5333333333	0.5968396244
1.5500000000	0.5967918054
1.5666666667	0.5967425790
1.5833333333	0.5966919039
1.6000000000	0.5966397379
1.6166666667	0.5965860371
1.6333333333	0.5965307562
1.6500000000	0.5964738486
1.6666666667	0.5964152659
1.6833333333	0.5963549583
1.7000000000	0.5962928743
1.7166666667	0.5962289605
1.7333333333	0.5961631620
1.7500000000	0.5960954219
1.7666666667	0.5960256812
1.7833333333	0.5959538791
1.8000000000	0.5958799528
1.8166666667	0.5958038372
1.8333333333	0.5957254649
1.8500000000	0.5956447663
1.8666666667	0.5955616694
1.8833333333	0.5954760996
1.9000000000	0.5953879797
1.9166666667	0.5952972298
1.9333333333	0.5952037673
1.9500000000	0.5951075066
1.9666666667	0.5950083589
1.9833333333	0.5949062324
2.0000000000	0.5948010320
2.0166666667	0.5946926593
2.0333333333	0.5945810119
2.0500000000	0.5944659843
2.0666666667	0.5943474667
2.0833333333	0.5942253455
2.1000000000	0.5940995029
2.1166666667	0.5939698166
2.1333333333	0.5938361602
2.1500000000	0.5936984021
2.1666666667	0.5935564061
2.1833333333	0.5934100309
2.2000000000	0.5932591298
2.2166666667	0.5931035507
2.2333333333	0.5929431356
2.2500000000	0.5927777207
2.2666666667	0.5926071358
2.2833333333	0.5924312043
2.3000000000	0.5922497429
2.3166666667	0.5920625609
2.3333333333	0.5918694608
2.3500000000	0.5916702371
2.3666666667	0.5914646763
2.3833333333	0.5912525569
2.4000000000	0.5910336484
2.4166666667	0.5908077114
2.4333333333	0.5905744974
2.4500000000	0.5903337476
2.4666666667	0.5900851934
2.4833333333	0.5898285555
2.5000000000	0.5895635435
2.5166666667	0.5892898554
2.5333333333	0.5890071772
2.5500000000	0.5887151825
2.5666666667	0.5884135319
2.5833333333	0.5881018722
2.6000000000	0.5877798363
2.6166666667	0.5874470424
2.6333333333	0.5871030932
2.6500000000	0.5867475755
2.6666666667	0.5863800598
2.6833333333	0.5860000991
2.7000000000	0.5856072284
2.7166666667	0.5852009644
2.7333333333	0.5847808041
2.7500000000	0.5843462246
2.7666666667	0.5838966820
2.7833333333	0.5834316107
2.8000000000	0.5829504227
2.8166666667	0.5824525068
2.8333333333	0.5819372273
2.8500000000	0.5814039239
2.8666666667	0.5808519102
2.8833333333	0.5802804732
2.9000000000	0.5796888721
2.9166666667	0.5790763377
2.9333333333	0.5784420717
2.9500000000	0.5777852451
2.9666666667	0.5771049983
2.9833333333	0.5764004394
3.0000000000	0.5756706442
3.0166666667	0.5749146546
3.0333333333	0.5741314787
3.0500000000	0.5733200895
3.0666666667	0.5724794248
3.0833333333	0.5716083863
3.1000000000	0.5707058395
3.1166666667	0.5697706131
3.1333333333	0.5688014990
3.1500000000	0.5677972523
3.1666666667	0.5667565914
3.1833333333	0.5656781983
3.2000000000	0.5645607192
3.2166666667	0.5634027651
3.2333333333	0.5622029132
3.2500000000	0.5609597077
3.2666666667	0.5596716621
3.2833333333	0.5583372607
3.3000000000	0.5569549611
3.3166666667	0.5555231972
3.3333333333	0.5540403822
3.3500000000	0.5525049123
3.3666666667	0.5509151714
3.3833333333	0.5492695350
3.4000000000	0.5475663765
3.4166666667	0.5458040725
3.4333333333	0.5439810092
3.4500000000	0.5420955901
3.4666666667	0.5401462436
3.4833333333	0.5381314309
3.5000000000	0.5360496557
3.5166666667	0.5338994736
3.5333333333	0.5316795020
3.5500000000	0.5293884315
3.5666666667	0.5270250366
3.5833333333	0.5245881876
3.6000000000	0.5220768624
3.6166666667	0.5194901591
3.6333333333	0.5168273080
3.6500000000	0.5140876842
3.6666666667	0.5112708198
3.6833333333	0.5083764154
3.7000000000	0.5054043524
3.7166666667	0.5023547027
3.7333333333	0.4992277397
3.7500000000	0.4960239465
3.7666666667	0.4927440243
3.7833333333	0.4893888981
3.8000000000	0.4859597224
3.8166666667	0.4824578835
3.8333333333	0.4788850017
3.8500000000	0.4752429301
3.8666666667	0.4715337523
3.8833333333	0.4677597778
3.9000000000	0.4639235354
3.9166666667	0.4600277643
3.9333333333	0.4560754032
3.9500000000	0.4520695784
3.9666666667	0.4480135886
3.9833333333	0.4439108896
4.0000000000	0.4397650766
4.0166666667	0.4355798658
4.0333333333	0.4313590749
4.0500000000	0.4271066031
4.0666666667	0.4228264103
4.0833333333	0.4185224963
4.1000000000	0.4141988804
4.1166666667	0.4098595809
4.1333333333	0.4055085952
4.1500000000	0.4011498814
4.1666666667	0.3967873394
4.1833333333	0.3924247949
4.2000000000	0.3880659833
4.2166666667	0.3837145355
4.2333333333	0.3793739656
4.2500000000	0.3750476594
4.2666666667	0.3707388645
4.2833333333	0.3664506826
4.3000000000	0.3621860628
4.3166666667	0.3579477963
4.3333333333	0.3537385128
4.3500000000	0.3495606782
4.3666666667	0.3454165935
4.3833333333	0.3413083946
4.4000000000	0.3372380540
4.4166666667	0.3332073821
4.4333333333	0.3292180308
4.4500000000	0.3252714967
4.4666666667	0.3213691260
4.4833333333	0.3175121184
4.5000000000	0.3137015336
4.5166666667	0.3099382959
4.5333333333	0.3062232008
4.5500000000	0.3025569208
4.5666666667	0.2989400120
4.5833333333	0.2953729200
4.6000000000	0.2918559868
4.6166666667	0.2883894563
4.6333333333	0.2849734816
4.6500000000	0.2816081302
4.6666666667	0.2782933903
4.6833333333	0.2750291768
4.7000000000	0.2718153367
4.7166666667	0.2686516544
4.7333333333	0.2655378570
4.7500000000	0.2624736195
4.7666666667	0.2594585690
4.7833333333	0.2564922895
4.8000000000	0.2535743260
4.8166666667	0.2507041888
4.8333333333	0.2478813568
4.8500000000	0.2451052814
4.8666666667	0.2423753894
4.8833333333	0.2396910867
4.9000000000	0.2370517607
4.9166666667	0.2344567831
4.9333333333	0.2319055124
4.9500000000	0.2293972963
4.9666666667	0.2269314736
4.9833333333	0.2245073764
5.0000000000	0.2221243318
5.0166666667	0.2197816635
5.0333333333	0.2174786935
5.0500000000	0.2152147431
5.0666666667	0.2129891348
5.0833333333	0.2108011927
5.1000000000	0.2086502441
5.1166666667	0.2065356201
5.1333333333	0.2044566566
5.1500000000	0.2024126951
5.1666666667	0.2004030832
5.1833333333	0.1984271753
5.2000000000	0.1964843331
5.2166666667	0.1945739262
5.2333333333	0.1926953321
5.2500000000	0.1908479371
5.2666666667	0.1890311362
5.2833333333	0.1872443335
5.3000000000	0.1854869424
5.3166666667	0.1837583856
5.3333333333	0.1820580956
5.3500000000	0.1803855146
5.3666666667	0.1787400943
