t_min	J_o
16.6166666667	0.5876960681
16.6333333333	0.5872570092
16.6500000000	0.5868040193
16.6666666667	0.5863364909
16.6833333333	0.5858537946
16.7000000000	0.5853552792
16.7166666667	0.5848402703
16.7333333333	0.5843080698
16.7500000000	0.5837579553
16.7666666667	0.5831891787
16.7833333333	0.5826009655
16.8000000000	0.5819925140
16.8166666667	0.5813629943
16.8333333333	0.5807115470
16.8500000000	0.5800372829
16.8666666667	0.5793392815
16.8833333333	0.5786165904
16.9000000000	0.5778682243
16.9166666667	0.5770931639
16.9333333333	0.5762903556
16.9500000000	0.5754587105
16.9666666667	0.5745971035
16.9833333333	0.5737043733
17.0000000000	0.5727793213
17.0166666667	0.5718207117
17.0333333333	0.5708272711
17.0500000000	0.5697976886
17.0666666667	0.5687306159
17.0833333333	0.5676246674
17.1000000000	0.5664784213
17.1166666667	0.5652904203
17.1333333333	0.5640591723
17.1500000000	0.5627831526
17.1666666667	0.5614608054
17.1833333333	0.5600905457
17.2000000000	0.5586707627
17.2166666667	0.5571998223
17.2333333333	0.5556760709
17.2500000000	0.5540978396
17.2666666667	0.5524634487
17.2833333333	0.5507712132
17.3000000000	0.5490194485
17.3166666667	0.5472064772
17.3333333333	0.5453306356
17.3500000000	0.5433902826
17.3666666667	0.5413838074
17.3833333333	0.5393096387
17.4000000000	0.5371662554
17.4166666667	0.5349521960
17.4333333333	0.5326660704
17.4500000000	0.5303065713
17.4666666667	0.5278724865
17.4833333333	0.5253627110
17.5000000000	0.5227762601
17.5166666667	0.5201122825
17.5333333333	0.5173700731
17.5500000000	0.5145490860
17.5666666667	0.5116489471
17.5833333333	0.5086694665
17.6000000000	0.5056106502
17.6166666667	0.5024727104
17.6333333333	0.4992560759
17.6500000000	0.4959614004
17.6666666667	0.4925895694
17.6833333333	0.4891417063
17.7000000000	0.4856191759
17.7166666667	0.4820235865
17.7333333333	0.4783567895
17.7500000000	0.4746208775
17.7666666667	0.4708181800
17.7833333333	0.4669512564
17.8000000000	0.4630228875
17.8166666667	0.4590360646
17.8333333333	0.4549939768
17.8500000000	0.4508999956
17.8666666667	0.4467576588
17.8833333333	0.4425706526
17.9000000000	0.4383427918
17.9166666667	0.4340779996
17.9333333333	0.4297802868
17.9500000000	0.4254537296
17.9666666667	0.4211024481
17.9833333333	0.4167305845
