t_min	J_o_norm
4.81667	0.137578
4.83333	0.136057
4.85	0.134562
4.86667	0.133092
4.88333	0.131645
4.9	0.130222
4.91667	0.128821
4.93333	0.127443
4.95	0.126087
4.96667	0.124752
4.98333	0.123438
5	0.122144
5.01667	0.12087
5.03333	0.119616
5.05	0.11838
5.06667	0.117164
5.08333	0.115965
5.1	0.114785
5.11667	0.113622
5.13333	0.112476
5.15	0.111347
5.16667	0.110234
5.18333	0.109138
5.2	0.108057
5.21667	0.106991
5.23333	0.105941
5.25	0.104905
5.26667	0.103884
5.28333	0.102877
5.3	0.101884
5.31667	0.100904
5.33333	0.0999385
5.35	0.0989856
5.36667	0.0980455
5.38333	0.097118
5.4	0.0962029
5.41667	0.0953
5.43333	0.0944089
5.45	0.0935295
5.46667	0.0926615
5.48333	0.0918048
5.5	0.090959
5.51667	0.0901241
5.53333	0.0892999
5.55	0.088486
5.56667	0.0876824
5.58333	0.0868888
5.6	0.0861051
5.61667	0.085331
5.63333	0.0845665
5.65	0.0838114
5.66667	0.0830654
5.68333	0.0823284
5.7	0.0816003
5.71667	0.0808809
5.73333	0.0801701
5.75	0.0794676
5.76667	0.0787735
5.78333	0.0780874
5.8	0.0774093
5.81667	0.0767391
5.83333	0.0760766
5.85	0.0754217
5.86667	0.0747743
5.88333	0.0741342
5.9	0.0735013
5.91667	0.0728755
5.93333	0.0722567
5.95	0.0716448
5.96667	0.0710397
5.98333	0.0704412
6	0.0698492
6.01667	0.0692637
6.03333	0.0686845
6.05	0.0681115
6.06667	0.0675447
6.08333	0.066984
6.1	0.0664292
6.11667	0.0658802
6.13333	0.0653371
6.15	0.0647996
6.16667	0.0642677
6.18333	0.0637413
6.2	0.0632203
6.21667	0.0627047
6.23333	0.0621943
6.25	0.0616892
6.26667	0.0611891
6.28333	0.0606941
6.3	0.060204
6.31667	0.0597188
6.33333	0.0592385
6.35	0.0587628
6.36667	0.0582919
6.38333	0.0578256
6.4	0.0573638
6.41667	0.0569065
6.43333	0.0564536
6.45	0.056005
6.46667	0.0555608
6.48333	0.0551208
6.5	0.0546849
6.51667	0.0542532
6.53333	0.0538255
6.55	0.0534018
6.56667	0.0529821
6.58333	0.0525663
6.6	0.0521543
6.61667	0.0517461
6.63333	0.0513416
6.65	0.0509408
6.66667	0.0505437
6.68333	0.0501501
6.7	0.0497601
6.71667	0.0493736
6.73333	0.0489905
6.75	0.0486108
6.76667	0.0482345
6.78333	0.0478615
6.8	0.0474918
6.81667	0.0471253
6.83333	0.046762
6.85	0.0464018
6.86667	0.0460448
6.88333	0.0456908
6.9	0.0453398
6.91667	0.0449919
6.93333	0.0446469
6.95	0.0443048
6.96667	0.0439656
6.98333	0.0436292
7	0.0432956
7.01667	0.0429649
7.03333	0.0426368
7.05	0.0423115
7.06667	0.0419888
7.08333	0.0416688
7.1	0.0413514
7.11667	0.0410365
7.13333	0.0407243
7.15	0.0404145
7.16667	0.0401072
7.18333	0.0398024
7.2	0.0395
7.21667	0.0392
7.23333	0.0389024
7.25	0.0386071
7.26667	0.0383142
7.28333	0.0380235
7.3	0.0377351
7.31667	0.0374489
7.33333	0.037165
7.35	0.0368832
7.36667	0.0366036
7.38333	0.0363261
7.4	0.0360508
7.41667	0.0357775
7.43333	0.0355063
7.45	0.0352372
7.46667	0.03497
7.48333	0.0347049
7.5	0.0344417
7.51667	0.0341805
7.53333	0.0339212
7.55	0.0336639
7.56667	0.0334084
7.58333	0.0331548
7.6	0.032903
7.61667	0.0326531
7.63333	0.032405
7.65	0.0321587
7.66667	0.0319141
7.68333	0.0316713
7.7	0.0314302
7.71667	0.0311909
7.73333	0.0309532
7.75	0.0307173
7.76667	0.030483
7.78333	0.0302503
7.8	0.0300192
7.81667	0.0297898
7.83333	0.029562
7.85	0.0293357
7.86667	0.029111
7.88333	0.0288879
7.9	0.0286662
7.91667	0.0284461
7.93333	0.0282275
7.95	0.0280104
7.96667	0.0277947
7.98333	0.0275805
8	0.0273677
8.01667	0.0271564
8.03333	0.0269465
8.05	0.0267379
8.06667	0.0265308
8.08333	0.026325
8.1	0.0261206
8.11667	0.0259175
8.13333	0.0257157
8.15	0.0255153
8.16667	0.0253161
8.18333	0.0251183
8.2	0.0249217
8.21667	0.0247264
8.23333	0.0245324
8.25	0.0243396
8.26667	0.024148
8.28333	0.0239576
8.3	0.0237685
8.31667	0.0235805
8.33333	0.0233938
8.35	0.0232082
8.36667	0.0230237
8.38333	0.0228405
8.4	0.0226583
8.41667	0.0224773
8.43333	0.0222974
8.45	0.0221186
8.46667	0.0219409
8.48333	0.0217644
8.5	0.0215888
8.51667	0.0214144
8.53333	0.021241
8.55	0.0210687
8.56667	0.0208974
8.58333	0.0207271
8.6	0.0205579
8.61667	0.0203896
8.63333	0.0202224
8.65	0.0200562
8.66667	0.0198909
8.68333	0.0197267
8.7	0.0195634
8.71667	0.019401
8.73333	0.0192396
8.75	0.0190792
8.76667	0.0189197
8.78333	0.0187611
8.8	0.0186034
8.81667	0.0184467
8.83333	0.0182908
8.85	0.0181359
8.86667	0.0179818
8.88333	0.0178286
8.9	0.0176763
8.91667	0.0175248
8.93333	0.0173743
8.95	0.0172245
8.96667	0.0170756
8.98333	0.0169275
9	0.0167803
9.01667	0.0166339
9.03333	0.0164883
9.05	0.0163435
9.06667	0.0161995
9.08333	0.0160563
9.1	0.0159139
9.11667	0.0157723
9.13333	0.0156315
9.15	0.0154914
9.16667	0.0153521
9.18333	0.0152135
9.2	0.0150757
9.21667	0.0149387
9.23333	0.0148024
9.25	0.0146668
9.26667	0.0145319
9.28333	0.0143978
9.3	0.0142643
9.31667	0.0141316
9.33333	0.0139996
9.35	0.0138683
9.36667	0.0137377
9.38333	0.0136077
